crosswalk_type,county,precincts,districts_all_weights,districts_weight_ge_0_10,districts_weight_ge_0_50,split_precincts,split_precinct_pct
cd118,GRAHAM,4,1,1,1,0,0.0
cd118,GRANVILLE,15,1,1,1,0,0.0
cd118,GREENE,10,1,1,1,0,0.0
cd118,GUILFORD,165,1,1,1,0,0.0
cd118,HALIFAX,19,1,1,1,0,0.0
cd118,HARNETT,13,2,2,2,1,7.69
cd118,HAYWOOD,29,1,1,1,0,0.0
cd118,HENDERSON,34,1,1,1,0,0.0
cd118,HERTFORD,13,1,1,1,0,0.0
cd118,HOKE,15,1,1,1,0,0.0
cd118,HYDE,7,1,1,1,0,0.0
cd118,IREDELL,30,1,1,1,0,0.0
cd118,JACKSON,13,1,1,1,0,0.0
cd118,JOHNSTON,36,1,1,1,0,0.0
cd118,JONES,7,1,1,1,0,0.0
cd118,LEE,10,1,1,1,0,0.0
cd118,LENOIR,22,1,1,1,0,0.0
cd118,LINCOLN,23,1,1,1,0,0.0
cd118,MACON,15,1,1,1,0,0.0
cd118,MADISON,12,1,1,1,0,0.0
cd118,MARTIN,9,1,1,1,0,0.0
cd118,MCDOWELL,17,1,1,1,0,0.0
cd118,MECKLENBURG,195,2,2,2,1,0.51
cd118,MITCHELL,9,1,1,1,0,0.0
cd118,MONTGOMERY,14,1,1,1,0,0.0
cd118,MOORE,26,1,1,1,0,0.0
cd118,NASH,24,1,1,1,0,0.0
cd118,NEW HANOVER,41,1,1,1,0,0.0
cd118,NORTHAMPTON,13,1,1,1,0,0.0
cd118,ONSLOW,24,1,1,1,0,0.0
cd118,ORANGE,40,1,1,1,0,0.0
cd118,PAMLICO,6,1,1,1,0,0.0
cd118,PASQUOTANK,9,1,1,1,0,0.0
cd118,PENDER,18,1,1,1,0,0.0
cd118,PERQUIMANS,7,1,1,1,0,0.0
cd118,PERSON,11,1,1,1,0,0.0
cd118,PITT,40,2,2,2,1,2.5
cd118,POLK,7,1,1,1,0,0.0
cd118,RANDOLPH,22,2,1,1,1,4.55
cd118,RICHMOND,16,2,2,2,1,6.25
cd118,ROBESON,39,1,1,1,0,0.0
cd118,ROCKINGHAM,15,1,1,1,0,0.0
cd118,ROWAN,41,1,1,1,0,0.0
cd118,RUTHERFORD,17,2,2,2,1,5.88
cd118,SAMPSON,23,1,1,1,0,0.0
cd118,SCOTLAND,7,1,1,1,0,0.0
cd118,STANLY,22,1,1,1,0,0.0
cd118,STOKES,18,1,1,1,0,0.0
cd118,SURRY,23,1,1,1,0,0.0
cd118,SWAIN,5,1,1,1,0,0.0
cd118,TRANSYLVANIA,15,1,1,1,0,0.0
cd118,TYRRELL,6,1,1,1,0,0.0
cd118,UNION,54,1,1,1,0,0.0
cd118,VANCE,12,1,1,1,0,0.0
cd118,WAKE,210,2,2,2,1,0.48
cd118,WARREN,14,1,1,1,0,0.0
cd118,WASHINGTON,6,1,1,1,0,0.0
cd118,WATAUGA,20,1,1,1,0,0.0
cd118,WAYNE,28,2,2,2,1,3.57
cd118,WILKES,25,1,1,1,0,0.0
cd118,WILSON,24,1,1,1,0,0.0
cd118,YADKIN,12,1,1,1,0,0.0
cd118,YANCEY,11,1,1,1,0,0.0
