file,year,scope,contest_type,district,agg_dem,agg_rep,snap_dem,snap_rep,agg_margin_pct,snap_margin_pct,delta_margin_pp,in_agg_only,in_snap_only,snapshot_untrusted
state_house_president_2020.json,2020,state_house,president,113,17178,33788,17014,33465,32.17,32.17,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,114,36582,18832,35967,18515,-31.5,-31.5,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,115,30074,23379,29220,22716,-12.31,-12.31,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,116,29781,20269,31242,21264,-18.71,-18.71,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,117,21994,30919,22196,31203,16.58,16.58,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,118,18046,30813,18046,30813,25.73,25.73,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,119,20815,27152,20815,27151,12.96,12.96,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,120,12415,35661,12415,35661,47.71,47.71,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,1,44754,72158,44754,72159,23.14,23.14,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,2,44387,62054,44388,62054,16.39,16.39,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,3,55991,52023,55994,52026,-3.64,-3.64,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,4,48805,55159,48805,55159,6.05,6.05,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,5,63335,48188,63335,48188,-13.4,-13.4,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,6,24264,46079,24264,46079,30.2,30.2,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,7,60558,60300,59966,59710,-0.21,-0.21,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,8,48322,75725,48786,76451,21.85,21.85,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,9,40612,64396,40609,64391,22.43,22.43,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,10,41255,68346,41258,68351,24.33,24.33,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,11,54254,55117,54254,55116,0.78,0.78,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,12,34619,53386,34607,53368,20.98,20.98,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,13,78495,41738,82058,43632,-29.96,-29.96,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,14,76094,30305,74577,29702,-42.32,-42.32,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,15,85148,37324,91778,40231,-38.26,-38.26,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,16,65309,32173,63816,31438,-33.36,-33.36,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,17,50902,45869,46575,41970,-5.09,-5.09,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,18,55641,51739,54397,50582,-3.57,-3.57,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,19,55374,45280,56759,46413,-9.86,-9.86,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,20,84223,31469,83854,31331,-44.91,-44.91,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,21,49876,51516,48638,50237,1.59,1.59,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,22,87417,22021,87821,22123,-58.89,-58.89,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,23,76920,40452,76920,40452,-30.66,-30.66,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,24,38010,44731,38010,44731,8.04,8.04,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,25,43543,64744,43543,64744,19.32,19.32,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,26,48332,65256,48332,65256,14.71,14.71,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,27,58372,42971,58372,42972,-14.97,-14.97,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,28,85621,27103,85621,27103,-51.17,-51.17,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,29,34258,74633,35355,77024,36.7,36.7,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,30,29344,82887,29344,82887,47.04,47.04,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,31,47965,61011,47334,60209,11.81,11.81,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,32,70358,44198,71236,44749,-22.45,-22.45,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,33,31246,74750,31246,74749,40.53,40.53,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,34,50502,59390,50503,59391,7.96,7.96,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,35,45839,73425,44505,71288,22.79,22.79,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,36,24140,86920,24148,86947,55.94,55.94,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,37,41763,76564,41763,76564,28.99,28.99,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,38,85034,19742,85034,19742,-61.25,-61.25,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,39,72986,35116,72986,35116,-34.37,-34.37,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,40,69617,29012,69616,29012,-40.49,-40.49,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,41,79088,36180,79088,36180,-36.61,-36.61,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,42,65274,47859,65274,47859,-15.13,-15.13,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,43,39354,66192,39289,66084,25.09,25.09,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,44,31839,76984,31889,77106,41.02,41.02,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,45,31842,77996,32660,80001,41.47,41.47,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,46,40795,67294,37889,62500,24.19,24.19,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,47,44301,79648,43280,77814,28.11,28.11,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,48,40869,72607,40870,72607,27.56,27.56,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,49,74988,42698,79881,45484,-26.99,-26.99,0.0,False,False,False
state_senate_president_2020.json,2020,state_senate,president,50,41803,76704,41802,76704,28.98,28.98,0.0,False,False,False
