block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010203003022,001,09060,05,21,25,063,20
370010203003023,001,09060,05,21,25,063,29
370010203003024,001,09060,05,21,25,063,20
370010203003025,001,09060,05,21,25,063,17
370010203003026,001,09060,05,21,25,063,29
370010203003027,001,09060,05,21,25,063,49
370010203003028,001,09060,05,21,25,063,17
370010203003029,001,09060,05,21,25,063,34
370010203003030,001,09060,05,21,25,063,0
370010203004000,001,09060,05,21,25,063,77
370010203004001,001,09060,05,21,25,063,0
370010203004002,001,09060,05,21,25,063,26
370010203004003,001,09060,05,21,25,063,25
370010203004004,001,09060,05,21,25,063,116
370010203004005,001,09060,05,21,25,063,10
370010203004006,001,09060,05,21,25,063,30
370010203004007,001,09060,05,21,25,063,82
370010203004008,001,09060,05,21,25,063,38
370010203004009,001,09060,05,21,25,063,54
370010203004010,001,09060,05,21,25,063,58
370010203004011,001,09060,05,21,25,063,147
370010203004012,001,09060,05,21,25,063,44
370010203004013,001,09060,05,21,25,063,73
370010203004014,001,09060,05,21,25,063,32
370010203004015,001,09060,05,21,25,063,29
370010203004016,001,09060,05,21,25,063,44
370010203004017,001,09060,05,21,25,063,53
370010203004018,001,09060,05,21,25,063,42
370010203004019,001,09060,05,21,25,063,65
370010203004020,001,09060,05,21,25,063,39
370010203004021,001,09060,05,21,25,063,18
370010203004998,001,99999,05,21,25,063,0
370010203004999,001,99999,05,21,25,13,0
370010203005000,001,30260,05,21,25,13,49
370010203005001,001,30260,05,21,25,13,0
370010203005002,001,99999,05,21,25,13,0
370010203005003,001,09060,05,21,25,063,8
370010203005004,001,09060,05,21,25,063,28
370010203005005,001,09060,05,21,25,063,48
370010203005006,001,09060,05,21,25,063,0
370010203005007,001,09060,05,21,25,063,0
370010203005008,001,09060,05,21,25,063,0
370010203005009,001,09060,05,21,25,063,19
370010203005010,001,09060,05,21,25,063,0
370010203005011,001,99999,05,21,25,13,0
370010203005012,001,30260,05,21,25,13,2
370010203005013,001,99999,05,21,25,13,0
370010203005014,001,99999,05,21,25,13,0
370010203005015,001,30260,05,21,25,13,6
370010203005016,001,30260,05,21,25,13,43
370010203005017,001,30260,05,21,25,13,28
370010203005018,001,30260,05,21,25,13,0
370010203005019,001,30260,05,21,25,13,10
370010203005020,001,30260,05,21,25,13,6
370010203005021,001,30260,05,21,25,13,7
370010203005022,001,30260,05,21,25,13,0
370010203005023,001,30260,05,21,25,13,6
370010203005024,001,30260,05,21,25,13,1
370010203005025,001,30260,05,21,25,13,24
370010203005026,001,99999,05,21,25,06N,5
370010203005027,001,09060,05,21,25,063,60
