modern_precinct,sbe2006_precinct,dominant_share_blocks,sbe2006_parts,modern_block_count,block_count
DURHAM - 35-5,DURHAM - 35,100.0,1,59,59
DURHAM - 36,DURHAM - 36,100.0,1,33,33
DURHAM - 37,DURHAM - 37,96.2,3,79,76
DURHAM - 38,DURHAM - 38,100.0,1,86,86
DURHAM - 40,DURHAM - 40,100.0,1,32,32
DURHAM - 41,DURHAM - 41,100.0,1,22,22
DURHAM - 42,DURHAM - 42,100.0,1,23,23
DURHAM - 43,DURHAM - 43,100.0,1,135,135
DURHAM - 44,DURHAM - 44,84.55,4,123,104
DURHAM - 45,DURHAM - 45,91.51,5,106,97
DURHAM - 46,DURHAM - 46,98.8,2,83,82
DURHAM - 47,DURHAM - 47,96.43,2,28,27
DURHAM - 50,DURHAM - 50,92.54,4,67,62
DURHAM - 51,DURHAM - 51,98.11,2,53,52
DURHAM - 52,DURHAM - 52,98.04,2,51,50
DURHAM - 53-2,DURHAM - 53-2,98.68,2,76,75
DURHAM - 54,DURHAM - 54,100.0,1,75,75
DURHAM - 55-11,DURHAM - 55,100.0,1,32,32
DURHAM - 55-49,DURHAM - 55,100.0,1,14,14
DURHAM - 56,DURHAM - 39,82.61,2,69,57
DURHAM - 57,DURHAM - 53-1,76.81,3,69,53
EDGECOMBE - 0101,EDGECOMBE - TARBORO 1,100.0,1,123,123
EDGECOMBE - 0102,EDGECOMBE - TARBORO 2,99.45,2,183,182
EDGECOMBE - 0103,EDGECOMBE - TARBORO 3,100.0,1,99,99
EDGECOMBE - 0104,EDGECOMBE - TARBORO 4,100.0,1,77,77
EDGECOMBE - 0201,EDGECOMBE - CONETOE,98.91,2,92,91
EDGECOMBE - 0301,EDGECOMBE - SPEED,100.0,1,64,64
EDGECOMBE - 0401,EDGECOMBE - LAWRENCE,100.0,1,28,28
EDGECOMBE - 0501,EDGECOMBE - LEGGETT,100.0,1,51,51
EDGECOMBE - 0601,EDGECOMBE - WHITAKERS,90.91,3,66,60
EDGECOMBE - 0701,EDGECOMBE - BATTLEBORO,100.0,1,110,110
EDGECOMBE - 0801,EDGECOMBE - OLD SPARTA,100.0,1,48,48
EDGECOMBE - 0901,EDGECOMBE - MACCLESFIELD,98.53,2,68,67
EDGECOMBE - 1001,EDGECOMBE - PINETOPS,100.0,1,114,114
EDGECOMBE - 1101,EDGECOMBE - LEWIS,100.0,1,60,60
EDGECOMBE - 1201,EDGECOMBE - ROCKY MOUNT 1,100.0,1,130,130
EDGECOMBE - 1202,EDGECOMBE - ROCKY MOUNT 2,100.0,1,101,101
EDGECOMBE - 1203,EDGECOMBE - WEST EDGECOMBE,100.0,1,119,119
EDGECOMBE - 1204,EDGECOMBE - ROCKY MOUNT 4,100.0,1,66,66
EDGECOMBE - 1205,EDGECOMBE - ROCKY MOUNT 5,100.0,1,92,92
EDGECOMBE - 1301,EDGECOMBE - TEMPERANCE HALL,100.0,1,34,34
EDGECOMBE - 1401,EDGECOMBE - SHARPSBURG,100.0,1,35,35
FORSYTH - 012,FORSYTH - 012,100.0,1,76,76
FORSYTH - 013,FORSYTH - 013,100.0,1,100,100
FORSYTH - 014,FORSYTH - 014,100.0,1,85,85
FORSYTH - 015,FORSYTH - 015,100.0,1,79,79
FORSYTH - 016,FORSYTH - 011,100.0,1,41,41
FORSYTH - 017,FORSYTH - 011,100.0,1,46,46
FORSYTH - 021,FORSYTH - 021,100.0,1,93,93
FORSYTH - 031,FORSYTH - 031,98.46,2,65,64
FORSYTH - 032,FORSYTH - 032,97.1,3,138,134
FORSYTH - 033,FORSYTH - 033,100.0,1,78,78
FORSYTH - 034,FORSYTH - 034,98.92,2,93,92
FORSYTH - 042,FORSYTH - 042,97.46,2,118,115
FORSYTH - 043,FORSYTH - 043,100.0,1,121,121
FORSYTH - 051,FORSYTH - 051,98.21,2,56,55
FORSYTH - 052,FORSYTH - 052,96.67,2,30,29
FORSYTH - 053,FORSYTH - 053,84.62,2,39,33
FORSYTH - 054,FORSYTH - 054,90.0,3,40,36
FORSYTH - 055,FORSYTH - 055,93.24,3,74,69
FORSYTH - 061,FORSYTH - 061,98.0,3,100,98
FORSYTH - 062,FORSYTH - 062,92.59,2,27,25
FORSYTH - 063,FORSYTH - 063,94.16,3,154,145
FORSYTH - 064,FORSYTH - 064,100.0,1,41,41
FORSYTH - 065,FORSYTH - 065,98.44,2,64,63
FORSYTH - 066,FORSYTH - 066,93.88,4,49,46
FORSYTH - 067,FORSYTH - 067,100.0,1,40,40
FORSYTH - 068,FORSYTH - 068,100.0,1,38,38
FORSYTH - 071,FORSYTH - 071,95.65,3,46,44
FORSYTH - 073,FORSYTH - 073,98.21,2,56,55
FORSYTH - 074,FORSYTH - 074,100.0,1,57,57
FORSYTH - 075,FORSYTH - 075,100.0,1,34,34
FORSYTH - 076,FORSYTH - 072,96.2,3,79,76
FORSYTH - 077,FORSYTH - 072,87.5,2,40,35
FORSYTH - 081,FORSYTH - 081,98.39,2,62,61
FORSYTH - 083,FORSYTH - 083,98.9,2,91,90
FORSYTH - 084,FORSYTH - 082,100.0,1,75,75
FORSYTH - 085,FORSYTH - 082,97.52,2,121,118
FORSYTH - 091,FORSYTH - 091,95.12,4,82,78
FORSYTH - 092,FORSYTH - 092,98.44,3,128,126
FORSYTH - 101,FORSYTH - 101,100.0,1,48,48
FORSYTH - 111,FORSYTH - 111,93.1,2,58,54
FORSYTH - 112,FORSYTH - 112,100.0,1,96,96
FORSYTH - 121,FORSYTH - 122,98.53,2,68,67
FORSYTH - 123,FORSYTH - 123,94.83,3,58,55
FORSYTH - 124,FORSYTH - 122,100.0,1,62,62
FORSYTH - 131,FORSYTH - 131,100.0,1,71,71
FORSYTH - 132,FORSYTH - 132,100.0,1,97,97
FORSYTH - 134,FORSYTH - 133,98.68,2,76,75
FORSYTH - 135,FORSYTH - 133,98.44,2,64,63
FORSYTH - 202,FORSYTH - 201,100.0,1,25,25
FORSYTH - 203,FORSYTH - 203,97.73,2,44,43
FORSYTH - 204,FORSYTH - 204,95.92,3,49,47
FORSYTH - 205,FORSYTH - 205,100.0,1,27,27
FORSYTH - 206,FORSYTH - 206,97.87,2,47,46
FORSYTH - 207,FORSYTH - 207,95.92,2,49,47
FORSYTH - 208,FORSYTH - 201,97.83,2,46,45
FORSYTH - 301,FORSYTH - 301,100.0,1,60,60
FORSYTH - 302,FORSYTH - 302,100.0,1,63,63
FORSYTH - 303,FORSYTH - 303,100.0,1,24,24
FORSYTH - 304,FORSYTH - 304,97.96,2,49,48
FORSYTH - 305,FORSYTH - 305,100.0,1,20,20
FORSYTH - 306,FORSYTH - 306,97.96,2,49,48
FORSYTH - 401,FORSYTH - 401,100.0,1,68,68
FORSYTH - 402,FORSYTH - 402,97.87,2,47,46
FORSYTH - 403,FORSYTH - 403,100.0,1,117,117
FORSYTH - 404,FORSYTH - 404,98.39,3,124,122
FORSYTH - 405,FORSYTH - 405,92.21,3,77,71
FORSYTH - 501,FORSYTH - 501,93.75,2,32,30
FORSYTH - 502,FORSYTH - 502,100.0,1,52,52
FORSYTH - 503,FORSYTH - 503,100.0,1,91,91
FORSYTH - 504,FORSYTH - 504,91.11,3,45,41
FORSYTH - 505,FORSYTH - 505,100.0,1,47,47
FORSYTH - 506,FORSYTH - 506,100.0,1,37,37
FORSYTH - 508,FORSYTH - 507,94.87,2,39,37
FORSYTH - 509,FORSYTH - 507,92.11,2,38,35
FORSYTH - 601,FORSYTH - 601,100.0,1,87,87
FORSYTH - 602,FORSYTH - 602,100.0,1,54,54
FORSYTH - 603,FORSYTH - 603,96.3,2,81,78
FORSYTH - 604,FORSYTH - 604,100.0,1,41,41
FORSYTH - 605,FORSYTH - 605,96.97,2,66,64
FORSYTH - 606,FORSYTH - 606,100.0,1,45,45
FORSYTH - 607,FORSYTH - 607,100.0,1,34,34
FORSYTH - 701,FORSYTH - 701,97.83,2,46,45
FORSYTH - 702,FORSYTH - 702,96.88,2,32,31
FORSYTH - 703,FORSYTH - 703,100.0,1,36,36
FORSYTH - 704,FORSYTH - 704,100.0,1,36,36
FORSYTH - 705,FORSYTH - 705,100.0,1,87,87
FORSYTH - 706,FORSYTH - 706,100.0,1,19,19
FORSYTH - 707,FORSYTH - 707,100.0,1,37,37
FORSYTH - 708,FORSYTH - 708,98.77,2,81,80
FORSYTH - 709,FORSYTH - 709,98.72,2,78,77
FORSYTH - 801,FORSYTH - 801,100.0,1,21,21
FORSYTH - 802,FORSYTH - 802,100.0,1,38,38
FORSYTH - 803,FORSYTH - 803,100.0,1,44,44
FORSYTH - 804,FORSYTH - 804,100.0,1,35,35
FORSYTH - 805,FORSYTH - 805,100.0,1,37,37
FORSYTH - 806,FORSYTH - 806,100.0,1,25,25
FORSYTH - 807,FORSYTH - 807,96.15,2,26,25
FORSYTH - 808,FORSYTH - 808,93.94,2,33,31
FORSYTH - 809,FORSYTH - 809,100.0,1,44,44
FORSYTH - 901,FORSYTH - 901,100.0,1,56,56
FORSYTH - 902,FORSYTH - 902,95.45,2,66,63
FORSYTH - 903,FORSYTH - 903,100.0,1,44,44
FORSYTH - 904,FORSYTH - 904,100.0,1,42,42
FORSYTH - 905,FORSYTH - 905,100.0,1,32,32
FORSYTH - 906,FORSYTH - 906,100.0,1,40,40
FORSYTH - 907,FORSYTH - 907,100.0,1,31,31
FORSYTH - 908,FORSYTH - 908,100.0,1,54,54
FORSYTH - 909,FORSYTH - 909,100.0,1,28,28
FRANKLIN - 01,FRANKLIN - LOUISBURG CITY,99.13,2,115,114
FRANKLIN - 02,FRANKLIN - LOUISBURG COUNTRY WEST,66.13,3,62,41
FRANKLIN - 03,FRANKLIN - FRANKLINTON WEST,93.29,2,149,139
FRANKLIN - 05,FRANKLIN - HARRIS EAST & HARRIS WEST,100.0,1,67,67
FRANKLIN - 06,FRANKLIN - DUNN,97.14,2,70,68
FRANKLIN - 07,FRANKLIN - PEARCES,95.56,3,45,43
FRANKLIN - 08,FRANKLIN - CYPRESS CREEK,98.88,2,179,177
FRANKLIN - 09,FRANKLIN - CEDAR ROCK,98.86,2,88,87
FRANKLIN - 10,FRANKLIN - GOLD MINE,98.61,2,72,71
FRANKLIN - 11,FRANKLIN - SANDY CREEK,89.39,2,66,59
FRANKLIN - 12,FRANKLIN - HAYESVILLE,100.0,1,45,45
FRANKLIN - 13,FRANKLIN - PILOT,100.0,1,60,60
FRANKLIN - 14,FRANKLIN - YOUNGSVILLE EAST,94.44,2,54,51
FRANKLIN - 15,FRANKLIN - FRANKLINTON EAST,95.28,3,106,101
FRANKLIN - 16,FRANKLIN - LOUISBURG COUNTRY EAST,91.14,3,79,72
FRANKLIN - 17,FRANKLIN - HARRIS EAST & HARRIS WEST,90.62,3,64,58
FRANKLIN - 18,FRANKLIN - YOUNGSVILLE WEST 1,91.89,3,74,68
FRANKLIN - 19,FRANKLIN - YOUNGSVILLE WEST 2,95.0,3,120,114
GASTON - 10A,GASTON - CHERRYVILLE 3,51.98,3,202,105
GASTON - 11A,GASTON - CHERRYVILLE 2,98.5,2,133,131
GASTON - 12A,GASTON - LANDERS CHAPEL,88.73,2,71,63
GASTON - 13A,GASTON - HIGH SHOALS,99.22,2,129,128
GASTON - 14A,GASTON - DALLAS 1,100.0,1,159,159
GASTON - 15A,GASTON - HEALTH CENTER,53.5,4,200,107
GASTON - 16A,GASTON - HIGHLAND,63.43,3,134,85
GASTON - 17A,GASTON - FLINT GROVE,99.01,2,101,100
GASTON - 18A,GASTON - DALLAS 2,99.31,2,145,144
GASTON - 19A,GASTON - ALEXIS,100.0,1,87,87
GASTON - 1A,GASTON - ARMSTRONG,55.33,3,150,83
GASTON - 20A,GASTON - STANLEY 1,97.32,2,112,109
GASTON - 21A,GASTON - LUCIA,98.0,2,100,98
GASTON - 22A,GASTON - MT HOLLY 1,100.0,1,130,130
GASTON - 23A,GASTON - MT HOLLY 2,100.0,1,107,107
GASTON - 24A,GASTON - STANLEY 2,94.2,3,138,130
GASTON - 25A,GASTON - RANLO,94.23,3,104,98
GASTON - 26A,GASTON - LOWELL,89.84,4,128,115
GASTON - 27A,GASTON - GARDNER PARK,54.63,2,108,59
GASTON - 28A,GASTON - SHERWOOD,51.46,3,103,53
GASTON - 29A,GASTON - ASHBROOK,100.0,1,57,57
GASTON - 2A,GASTON - VICTORY,54.1,4,183,99
GASTON - 30A,GASTON - ROBINSON 1,95.83,2,72,69
GASTON - 31A,GASTON - GASTON DAY,100.0,1,65,65
GASTON - 32A,GASTON - UNION,93.55,3,62,58
GASTON - 33A,GASTON - NEW HOPE,98.98,2,98,97
GASTON - 34A,GASTON - CRAMERTON,84.8,6,125,106
GASTON - 35A,GASTON - MCADENVILLE,98.17,2,109,107
GASTON - 36A,GASTON - BELMONT 3,96.33,2,109,105
GASTON - 37A,GASTON - CATAWBA HEIGHTS,80.46,2,87,70
GASTON - 38A,GASTON - BELMONT 2,99.3,2,142,141
GASTON - 39A,GASTON - BELMONT 1,100.0,1,120,120
GASTON - 3A,GASTON - ROBINSON 2,98.28,2,58,57
GASTON - 40A,GASTON - SOUTHPOINT,97.78,2,135,132
GASTON - 4A,GASTON - SOUTH GASTONIA,100.0,1,142,142
GASTON - 5A,GASTON - FOREST HEIGHTS,94.48,3,145,137
GASTON - 6A,GASTON - CROWDERS MOUNTAIN,91.14,4,158,144
GASTON - 7A,GASTON - BESSEMER CITY 2,98.79,3,165,163
GASTON - 8A,GASTON - BESSEMER CITY 1,100.0,1,165,165
GASTON - 9A,GASTON - TRYON,100.0,1,52,52
GATES - 1,GATES - 1,100.0,1,66,66
GATES - 2,GATES - 2,100.0,1,54,54
GATES - 3,GATES - 3,98.57,2,70,69
GATES - 4N,GATES - 4 NORTH,100.0,1,61,61
GATES - 4S,GATES - 4 SOUTH,100.0,1,37,37
GATES - 5,GATES - 5,100.0,1,50,50
GRAHAM - EAST,GRAHAM - EAST WARD & WEST WARD,98.99,3,198,196
GRAHAM - STEC,GRAHAM - STECOAH,98.25,2,171,168
GRAHAM - TAPO,GRAHAM - TAPOCO,100.0,1,130,130
GRAHAM - WEST,GRAHAM - EAST WARD & WEST WARD,100.0,1,255,255
GRANVILLE - ANTI,GRANVILLE - ANTIOCH,100.0,1,26,26
GRANVILLE - BERE,GRANVILLE - BEREA,98.89,2,90,89
GRANVILLE - BTNR,GRANVILLE - BUTNER,97.48,3,159,155
GRANVILLE - CORI,GRANVILLE - CORINTH,96.88,2,96,93
GRANVILLE - CRDL,GRANVILLE - CREDLE,96.0,2,75,72
GRANVILLE - CRDM,GRANVILLE - CREEDMOOR,99.38,2,160,159
GRANVILLE - EAOX,GRANVILLE - OXFORD EAST,77.65,3,85,66
GRANVILLE - MTEN,GRANVILLE - BRASSFIELD,100.0,1,92,92
GRANVILLE - OKHL,GRANVILLE - OAK HILL,100.0,1,90,90
GRANVILLE - SALM,GRANVILLE - SALEM,98.95,2,95,94
GRANVILLE - SASS,GRANVILLE - SASSAFRAS FORK,99.02,2,102,101
GRANVILLE - SOOX,GRANVILLE - OXFORD SOUTH,91.01,2,89,81
GRANVILLE - TYHO,GRANVILLE - TALLY HO,100.0,1,154,154
GRANVILLE - WILT,GRANVILLE - BRASSFIELD,100.0,1,84,84
GRANVILLE - WOEL,GRANVILLE - OXFORD WEST,100.0,1,58,58
GREENE - ARBA,GREENE - ARBA,93.48,2,46,43
GREENE - BEAR,GREENE - BEAR GARDEN,100.0,1,36,36
GREENE - BULL,GREENE - BULL HEAD,100.0,1,54,54
GREENE - CAST,GREENE - CASTORIA,98.21,2,56,55
GREENE - HOOK,GREENE - HOOKERTON,91.67,3,48,44
GREENE - MAUR,GREENE - MAURY,100.0,1,84,84
GREENE - SH#1,GREENE - SNOW HILL 1,95.88,2,97,93
GREENE - SHIN,GREENE - SHINE,96.25,2,80,77
GREENE - SUGG,GREENE - SUGG,92.31,2,39,36
GREENE - WALS,GREENE - WALSTONBURG,96.34,2,82,79
GUILFORD - CG1,GUILFORD - CENTER GROVE 1,83.33,3,30,25
GUILFORD - CG2,GUILFORD - CENTER GROVE 2,79.41,3,34,27
GUILFORD - CG3A,GUILFORD - CENTER GROVE 3,100.0,1,21,21
GUILFORD - CG3B,GUILFORD - CENTER GROVE 3,100.0,1,55,55
GUILFORD - FEN1,GUILFORD - FENTRESS 1,96.15,3,104,100
GUILFORD - FEN2,GUILFORD - FENTRESS 2,97.44,2,39,38
GUILFORD - FR1,GUILFORD - FRIENDSHIP 1,100.0,1,85,85
GUILFORD - FR2,GUILFORD - FRIENDSHIP 2,100.0,1,64,64
GUILFORD - FR3,GUILFORD - FRIENDSHIP 3,100.0,1,18,18
GUILFORD - FR4,GUILFORD - FRIENDSHIP 4,89.19,4,74,66
GUILFORD - FR5A,GUILFORD - FRIENDSHIP 5,98.36,2,61,60
GUILFORD - FR5B,GUILFORD - FRIENDSHIP 5,100.0,1,44,44
GUILFORD - G01,GUILFORD - GB 01,100.0,1,37,37
GUILFORD - G02,GUILFORD - GB 02,100.0,1,65,65
GUILFORD - G03,GUILFORD - GB 03,95.52,2,67,64
GUILFORD - G04,GUILFORD - GB 04,100.0,1,60,60
GUILFORD - G05,GUILFORD - GB 05,92.59,3,27,25
GUILFORD - G06,GUILFORD - GB 06,83.78,3,37,31
GUILFORD - G07,GUILFORD - GB 07,89.86,2,69,62
GUILFORD - G08,GUILFORD - GB 08,100.0,1,43,43
GUILFORD - G09,GUILFORD - GB 09,100.0,1,39,39
GUILFORD - G10,GUILFORD - GB 10,100.0,1,64,64
GUILFORD - G11,GUILFORD - GB 11,93.48,2,92,86
GUILFORD - G12,GUILFORD - GB 12,89.8,3,49,44
GUILFORD - G13,GUILFORD - GB 13,92.98,2,57,53
GUILFORD - G14,GUILFORD - GB 14,97.83,2,46,45
GUILFORD - G15,GUILFORD - GB 15,93.75,3,48,45
GUILFORD - G16,GUILFORD - GB 16,100.0,1,34,34
GUILFORD - G17,GUILFORD - GB 17,98.61,2,72,71
GUILFORD - G18,GUILFORD - GB 18,94.12,3,51,48
GUILFORD - G19,GUILFORD - GB 19,98.36,2,61,60
GUILFORD - G20,GUILFORD - GB 20,91.14,4,79,72
GUILFORD - G21,GUILFORD - GB 21,100.0,1,74,74
GUILFORD - G22,GUILFORD - GB 22,90.62,2,32,29
GUILFORD - G23,GUILFORD - GB 23,100.0,1,27,27
GUILFORD - G24,GUILFORD - GB 24,93.33,2,15,14
GUILFORD - G25,GUILFORD - GB 25,100.0,1,14,14
GUILFORD - G26,GUILFORD - GB 26,100.0,1,56,56
GUILFORD - G27,GUILFORD - GB 27,87.88,3,33,29
GUILFORD - G28,GUILFORD - GB 28,100.0,1,16,16
GUILFORD - G29,GUILFORD - GB 29,100.0,1,40,40
GUILFORD - G30,GUILFORD - GB 30,100.0,1,35,35
GUILFORD - G31,GUILFORD - GB 31,100.0,1,53,53
GUILFORD - G32,GUILFORD - GB 32,95.56,3,45,43
GUILFORD - G33,GUILFORD - GB 33,100.0,1,33,33
GUILFORD - G34,GUILFORD - GB 34,100.0,1,29,29
GUILFORD - G35,GUILFORD - GB 35,100.0,1,29,29
GUILFORD - G36,GUILFORD - GB 36,100.0,1,32,32
GUILFORD - G37,GUILFORD - GB 37,100.0,1,28,28
GUILFORD - G38,GUILFORD - GB 38,100.0,1,30,30
GUILFORD - G39,GUILFORD - GB 39,100.0,1,24,24
GUILFORD - G40A1,GUILFORD - GB 40A,100.0,1,30,30
GUILFORD - G40A2,GUILFORD - GB 40A,58.82,2,17,10
GUILFORD - G40B,GUILFORD - GB 40B,100.0,1,12,12
GUILFORD - G41A,GUILFORD - GB 41,72.22,2,18,13
GUILFORD - G41B,GUILFORD - GB 41,82.76,3,29,24
GUILFORD - G42A,GUILFORD - GB 42,100.0,1,31,31
GUILFORD - G42B,GUILFORD - GB 42,100.0,1,7,7
GUILFORD - G43,GUILFORD - GB 43,100.0,1,39,39
GUILFORD - G44,GUILFORD - GB 44,100.0,1,88,88
GUILFORD - G45,GUILFORD - GB 45,100.0,1,29,29
GUILFORD - G46,GUILFORD - GB 46,98.68,2,76,75
GUILFORD - G47,GUILFORD - GB 47,98.89,2,90,89
GUILFORD - G48,GUILFORD - GB 48,97.37,2,76,74
GUILFORD - G49,GUILFORD - GB 49,96.97,2,33,32
GUILFORD - G50,GUILFORD - GB 50,100.0,1,106,106
GUILFORD - G51,GUILFORD - GB 51,100.0,1,66,66
GUILFORD - G52,GUILFORD - GB 52,90.32,3,62,56
GUILFORD - G53,GUILFORD - GB 53,85.29,2,68,58
GUILFORD - G54,GUILFORD - GB 54,95.56,3,45,43
GUILFORD - G55,GUILFORD - GB 55,91.67,3,48,44
GUILFORD - G56,GUILFORD - GB 56,95.92,3,49,47
GUILFORD - G57,GUILFORD - GB 57,100.0,1,45,45
GUILFORD - G58,GUILFORD - GB 58,100.0,1,35,35
GUILFORD - G59,GUILFORD - GB 59,95.45,2,44,42
GUILFORD - G60,GUILFORD - GB 60,100.0,1,44,44
GUILFORD - G61,GUILFORD - GB 61,100.0,1,50,50
GUILFORD - G62,GUILFORD - GB 62,100.0,1,28,28
GUILFORD - G63,GUILFORD - GB 63,94.44,2,18,17
GUILFORD - G64,GUILFORD - GB 64,92.17,4,115,106
GUILFORD - G65,GUILFORD - GB 65,100.0,1,22,22
GUILFORD - G66,GUILFORD - GB 66,100.0,1,16,16
GUILFORD - G67,GUILFORD - GB 67,92.31,3,39,36
GUILFORD - G68,GUILFORD - GB 68,100.0,1,43,43
GUILFORD - G69,GUILFORD - GB 69,97.75,3,89,87
GUILFORD - G70,GUILFORD - GB 70,100.0,1,59,59
GUILFORD - G71,GUILFORD - GB 71,92.86,4,70,65
GUILFORD - G72,GUILFORD - GB 72,97.44,2,39,38
GUILFORD - G73,GUILFORD - GB 73,98.28,2,58,57
GUILFORD - G74,GUILFORD - GB 74,82.09,4,67,55
GUILFORD - G75,GUILFORD - GB 75,85.07,3,67,57
GUILFORD - GIB,GUILFORD - GIBSONVILLE,96.49,3,114,110
GUILFORD - GR,GUILFORD - GREENE,82.11,4,123,101
GUILFORD - H01,GUILFORD - HP 01,98.23,3,113,111
GUILFORD - H02,GUILFORD - HP 02,100.0,1,54,54
GUILFORD - H03,GUILFORD - HP 03,100.0,1,145,145
GUILFORD - H04,GUILFORD - HP 04,92.56,4,121,112
GUILFORD - H05,GUILFORD - HP 05,100.0,1,61,61
GUILFORD - H06,GUILFORD - HP 06,97.06,3,68,66
GUILFORD - H07,GUILFORD - HP 07,98.57,2,70,69
GUILFORD - H08,GUILFORD - HP 08,100.0,1,61,61
GUILFORD - H09,GUILFORD - HP 09,100.0,1,67,67
GUILFORD - H10,GUILFORD - HP 10,98.08,2,52,51
GUILFORD - H11,GUILFORD - HP 11,100.0,1,64,64
GUILFORD - H12,GUILFORD - HP 12,100.0,1,73,73
GUILFORD - H13,GUILFORD - HP 13,100.0,1,97,97
GUILFORD - H14,GUILFORD - HP 14,100.0,1,37,37
GUILFORD - H15,GUILFORD - HP 15,100.0,1,20,20
GUILFORD - H16,GUILFORD - HP 16,100.0,1,63,63
GUILFORD - H17,GUILFORD - HP 17,100.0,1,31,31
GUILFORD - H18,GUILFORD - HP 18,100.0,1,28,28
GUILFORD - H19A,GUILFORD - HP 19A,100.0,1,21,21
GUILFORD - H19B,GUILFORD - HP 19B,100.0,1,15,15
GUILFORD - H20A,GUILFORD - HP 20A,84.38,4,32,27
GUILFORD - H20B,GUILFORD - HP 20B,100.0,1,15,15
GUILFORD - H21,GUILFORD - HP 21,93.75,2,16,15
GUILFORD - H22,GUILFORD - HP 22,100.0,1,36,36
GUILFORD - H23,GUILFORD - HP 23,94.87,3,39,37
GUILFORD - H24,GUILFORD - HP 24,85.71,3,42,36
GUILFORD - H25,GUILFORD - HP 25,94.87,2,39,37
GUILFORD - H26,GUILFORD - HP 26,96.55,2,29,28
GUILFORD - H27-A,GUILFORD - HP 27,90.91,3,22,20
GUILFORD - H27-B,GUILFORD - HP 27,75.0,2,24,18
GUILFORD - H28,GUILFORD - HP,98.94,2,94,93
GUILFORD - H29A,GUILFORD - HP,100.0,1,73,73
GUILFORD - H29B,GUILFORD - HP,87.85,3,107,94
GUILFORD - JAM1,GUILFORD - JAMESTOWN 1,83.78,4,74,62
GUILFORD - JAM2,GUILFORD - JAMESTOWN 2,86.84,3,38,33
GUILFORD - JAM3,GUILFORD - JAMESTOWN 3,99.12,2,113,112
GUILFORD - JAM4,GUILFORD - JAMESTOWN 4,95.45,4,154,147
GUILFORD - JAM5,GUILFORD - JAMESTOWN 5,94.29,2,175,165
GUILFORD - JEF1,GUILFORD - JEFFERSON 1,97.4,2,154,150
GUILFORD - JEF2,GUILFORD - JEFFERSON 2,92.97,4,128,119
GUILFORD - JEF3,GUILFORD - JEFFERSON 3,100.0,1,86,86
GUILFORD - JEF4,GUILFORD - JEFFERSON 4,97.14,2,105,102
GUILFORD - MON1,GUILFORD - MONROE 1,97.2,3,107,104
GUILFORD - MON2A,GUILFORD - MONROE 2,93.55,3,93,87
GUILFORD - MON2B,GUILFORD - MONROE 2,100.0,1,40,40
GUILFORD - MON3,GUILFORD - MONROE 3,97.32,3,149,145
GUILFORD - NCGR1,GUILFORD - CENTER GROVE NORTH,94.52,2,73,69
GUILFORD - NCGR2,GUILFORD - CENTER GROVE NORTH,98.36,2,61,60
GUILFORD - NCLAY1,GUILFORD - CLAY NORTH 1,93.44,4,61,57
GUILFORD - NCLAY2,GUILFORD - CLAY NORTH 2,98.18,2,55,54
GUILFORD - NDRI,GUILFORD - DEEP RIVER NORTH,99.01,2,101,100
GUILFORD - NMAD,GUILFORD - MADISON NORTH,97.85,3,93,91
GUILFORD - NWASH,GUILFORD - WASHINGTON NORTH,86.89,3,61,53
GUILFORD - OR1,GUILFORD - OAK RIDGE 1,88.52,3,122,108
GUILFORD - OR2,GUILFORD - OAK RIDGE 2,97.73,2,44,43
GUILFORD - PG1,GUILFORD - PLEASANT GARDEN 1,92.45,2,53,49
GUILFORD - PG2,GUILFORD - PLEASANT GARDEN 2,100.0,1,80,80
GUILFORD - RC1,GUILFORD - ROCK CREEK 1,86.81,4,91,79
GUILFORD - RC2,GUILFORD - ROCK CREEK 2,96.1,4,205,197
GUILFORD - SCLAY,GUILFORD - CLAY SOUTH,100.0,1,85,85
GUILFORD - SDRI,GUILFORD - DEEP RIVER SOUTH,91.98,7,187,172
GUILFORD - SF1,GUILFORD - SUMMERFIELD 1,91.67,3,96,88
GUILFORD - SF2,GUILFORD - SUMMERFIELD 2,90.57,3,53,48
GUILFORD - SF3,GUILFORD - SUMMERFIELD 3,98.39,2,62,61
GUILFORD - SF4,GUILFORD - SUMMERFIELD 4,97.06,2,68,66
GUILFORD - SMAD,GUILFORD - MADISON SOUTH,87.3,3,63,55
GUILFORD - STOK,GUILFORD - STOKESDALE,97.83,2,92,90
GUILFORD - SUM1,GUILFORD - SUMNER 1,94.62,4,93,88
GUILFORD - SUM2,GUILFORD - SUMNER 2,95.35,3,86,82
GUILFORD - SUM3,GUILFORD - SUMNER 3,100.0,1,32,32
GUILFORD - SUM4,GUILFORD - SUMNER 4,97.92,2,48,47
GUILFORD - SWASH,GUILFORD - WASHINGTON SOUTH,86.54,4,52,45
HALIFAX - BUTWD,HALIFAX - BUTTERWOOD,80.0,3,35,28
HALIFAX - CONC,HALIFAX - CONOCONNARA,100.0,1,36,36
HALIFAX - ENF 2,HALIFAX - ENFIELD 2,91.35,3,104,95
HALIFAX - ENF1,HALIFAX - ENFIELD 3,50.33,3,153,77
HALIFAX - FAUCT,HALIFAX - FAUCETT,96.74,3,92,89
HALIFAX - HAL,HALIFAX - HALIFAX,100.0,1,101,101
HALIFAX - HOL,HALIFAX - HOLLISTER,91.57,5,83,76
HALIFAX - HPR,HALIFAX - HOBGOOD,43.17,5,139,60
