year,status,raw_precinct_key,count,suggested_canonical_precinct_key,score,tier,reason,candidate_2,candidate_3
2016,UNMATCHED,PAMLICO - 4VM A,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PENDER - MH07,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PENDER - PL10,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PERSON - RCTL,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SCOTLAND - 08,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SCOTLAND - 09,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0002,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0007,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0008,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0010,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0012,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0013,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STANLY - 0020,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,STOKES - 06,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 02,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 03,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 06,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 07,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 08,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 13,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 14,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 20,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 21,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,SURRY - 33,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,UNION - 020A,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - ABSEN 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSAB 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSAP 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSAV 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSCA 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSCB 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSCH 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSFB 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSFV 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSGR 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSHS 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSKD 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSLL 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSLOB 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSNB 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSNR 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSOP 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSTC 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSWA 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSWD 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - OSZB 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - PROVI 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAKE - TRANS 81-91,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAYNE - 20,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WAYNE - 30,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WILKES - 110,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WILKES - 113,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WILKES - 120,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WILKES - 121,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WILKES - 123,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,WILKES - 124,12,,0.0000,MANUAL_REQUIRED,none,,
