sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
BUNCOMBE - 70.1,BUNCOMBE - 70.1,3938,117,3938,1.0
BUNCOMBE - 71.1,BUNCOMBE - 71.1,4916,137,4916,1.0
BURKE - 0001,BURKE - 0001,3728,139,3728,1.0
BURKE - 0003,BURKE - 0003,1391,41,1391,1.0
BURKE - 0011,BURKE - 0011,3385,122,3385,1.0
BURKE - 0012,BURKE - 0012,2044,40,2044,1.0
BURKE - 0013,BURKE - 0013,3258,103,3258,1.0
BURKE - 0014,BURKE - 0014,2324,66,2324,1.0
BURKE - 0015,BURKE - 0015,1841,90,1841,1.0
BURKE - 0018,BURKE - 0018,560,51,560,1.0
BURKE - 0019,BURKE - 0019,571,52,571,1.0
BURKE - 0020,BURKE - 0020,895,41,895,1.0
BURKE - 0021,BURKE - 0021,1712,78,1712,1.0
BURKE - 0022,BURKE - 0022,2315,136,2315,1.0
BURKE - 0022,BURKE - 0024,0,1,2315,0.0
BURKE - 0024,BURKE - 0024,2784,138,2790,0.9978494623655914
BURKE - 0024,BURKE - 0022,6,1,2790,0.002150537634408602
BURKE - 0029-A,BURKE - 0071,1336,38,1339,0.9977595220313666
BURKE - 0029-A,BURKE - 0012,3,1,1339,0.0022404779686333084
BURKE - 0029-B,BURKE - 0071,1312,81,1312,1.0
BURKE - 0031,BURKE - 0031,2963,106,2963,1.0
BURKE - 0034,BURKE - 0034,2360,61,2360,1.0
BURKE - 0034,BURKE - 0070,0,1,2360,0.0
BURKE - 0035,BURKE - 0035,1997,35,1997,1.0
BURKE - 0036,BURKE - 0036,2194,76,2194,1.0
BURKE - 0038,BURKE - 0038,2740,65,2740,1.0
BURKE - 0039,BURKE - 0039,2589,82,2589,1.0
BURKE - 0040,BURKE - 0040,2053,71,2053,1.0
BURKE - 0047-A,BURKE - 0047-A,2137,31,2137,1.0
BURKE - 0047-B,BURKE - 0047-B,1415,22,1415,1.0
BURKE - 0048,BURKE - 0048,2154,53,2154,1.0
BURKE - 0051,BURKE - 0051,3819,125,3819,1.0
BURKE - 0052,BURKE - 0052,1745,49,1745,1.0
BURKE - 0053,BURKE - 0072,2799,60,2799,1.0
BURKE - 0062,BURKE - 0062,952,65,952,1.0
BURKE - 0062,BURKE - 0066,0,1,952,0.0
BURKE - 0064,BURKE - 0064,856,55,856,1.0
BURKE - 0065,BURKE - 0072,2272,30,2272,1.0
BURKE - 0066,BURKE - 0066,2626,60,2626,1.0
BURKE - 0070,BURKE - 0070,2882,53,2882,1.0
BURKE - 0070,BURKE - 0034,0,1,2882,0.0
CABARRUS - 01-02,CABARRUS - 01-02,3246,49,3246,1.0
CABARRUS - 01-04,CABARRUS - 01-04,5884,90,5884,1.0
CABARRUS - 01-07,CABARRUS - 01-07,2891,65,2891,1.0
CABARRUS - 01-08,CABARRUS - 01-08,5328,78,5328,1.0
CABARRUS - 01-10,CABARRUS - 01-10,3168,99,3168,1.0
CABARRUS - 01-10,CABARRUS - 01-07,0,1,3168,0.0
CABARRUS - 01-11,CABARRUS - 01-11,4871,125,4871,1.0
CABARRUS - 02-01,CABARRUS - 02-01,3969,41,3969,1.0
CABARRUS - 02-02,CABARRUS - 02-02,5292,42,5292,1.0
CABARRUS - 02-03,CABARRUS - 02-03,7320,153,7322,0.9997268505872713
CABARRUS - 02-03,CABARRUS - 01-11,2,1,7322,0.0002731494127287626
CABARRUS - 02-03,CABARRUS - 02-02,0,1,7322,0.0
CABARRUS - 02-05,CABARRUS - 02-05,4912,52,4912,1.0
CABARRUS - 02-06,CABARRUS - 02-06,4664,52,4664,1.0
CABARRUS - 02-07,CABARRUS - 02-07,3760,40,3760,1.0
CABARRUS - 02-07,CABARRUS - 02-08,0,1,3760,0.0
CABARRUS - 02-08,CABARRUS - 02-08,8563,176,8563,1.0
