line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2024,2004,state_house,president,state_house_president_2004.json,22,True,0.999897,True,8.83,8.75,-0.08,REP,REP,False,34601,34618,17,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0898
2022,2004,state_senate,governor,state_senate_governor_2004.json,42,True,0.999999,True,7.32,7.31,-0.01,REP,REP,False,82089,81772,-317,54693,66.89,54693,0,0.0,MECKLENBURG:54693 (100.0%),direct_sf1_vtd:54693 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0872
2024,2004,state_house,governor,state_house_governor_2004.json,65,True,0.999996,True,-15.52,-15.58,-0.06,DEM,DEM,False,37284,37314,30,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0761
2024,2004,state_house,president,state_house_president_2004.json,65,True,0.999897,True,22.49,22.43,-0.06,REP,REP,False,37388,37417,29,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0755
2022,2004,state_house,governor,state_house_governor_2004.json,100,True,1.000003,True,-41.76,-41.72,0.04,DEM,DEM,False,23520,23560,40,15684,66.57,15684,0,0.0,MECKLENBURG:15684 (100.0%),direct_sf1_vtd:15684 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.074
2022,2002,state_senate,us_senate,state_senate_us_senate_2002.json,12,True,1.000001,True,15.68,15.66,-0.02,REP,REP,False,35319,35229,-90,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.071
2022,2004,state_house,governor,state_house_governor_2004.json,91,True,1.000003,True,3.65,3.7,0.05,REP,REP,False,36169,36136,-33,13578,37.58,13578,0,0.0,FORSYTH:13578 (100.0%),direct_sf1_vtd:13578 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0682
2022,2004,state_senate,president,state_senate_president_2004.json,12,True,0.999997,True,25.64,25.63,-0.01,REP,REP,False,53755,53601,-154,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0673
2022,2002,state_senate,us_senate,state_senate_us_senate_2002.json,31,True,1.000001,True,14.54,14.58,0.04,REP,REP,False,51792,51861,69,35268,68.0,35268,0,0.0,FORSYTH:35265 (100.0%); GUILFORD:2 (0.0%),direct_sf1_vtd:35268 (100.0%); historical_plan_cell:0 (0.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0666
2022,2004,state_house,president,state_house_president_2004.json,100,True,1.000002,True,-28.88,-28.85,0.03,DEM,DEM,False,23902,23943,41,15867,66.27,15867,0,0.0,MECKLENBURG:15867 (100.0%),direct_sf1_vtd:15867 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0643
2024,2004,state_house,president,state_house_president_2004.json,86,True,0.999897,True,23.39,23.36,-0.03,REP,REP,False,30762,30712,-50,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0625
2024,2004,state_senate,president,state_senate_president_2004.json,10,True,0.999999,True,36.13,36.1,-0.03,REP,REP,False,54357,54445,88,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0624
